	smiles	name	stand_name
350	O=C(O)COC1=CC=C(C)C(CO)=N1		B350
351	O=C(O)COC1=C(CO)C(OC)=CC=N1		B351
352	O=C(O)COC1=C(CO)C=C(OC)C=N1		B352
353	O=C(O)COC1=C(CO)C=CC(OC)=N1		B353
354	O=C(O)COC1=C(OC)C(CO)=CC=N1		B354
355	O=C(O)COC1=CC(CO)=C(OC)C=N1		B355
356	O=C(O)COC1=CC(CO)=CC(OC)=N1		B356
357	O=C(O)COC1=C(OC)C=C(CO)C=N1		B357
358	O=C(O)COC1=CC(OC)=C(CO)C=N1		B358
359	O=C(O)COC1=CC=C(CO)C(OC)=N1		B359
360	O=C(O)COC1=C(OC)C=CC(CO)=N1		B360
361	O=C(O)COC1=CC(OC)=CC(CO)=N1		B361
362	O=C(O)COC1=CC=C(OC)C(CO)=N1		B362
363	O=C(O)COC1=C(CO)C(F)=CC=N1		B363
364	O=C(O)COC1=C(CO)C=C(F)C=N1		B364
365	O=C(O)COC1=C(CO)C=CC(F)=N1		B365
366	O=C(O)COC1=C(F)C(CO)=CC=N1		B366
367	O=C(O)COC1=CC(CO)=C(F)C=N1		B367
368	O=C(O)COC1=CC(CO)=CC(F)=N1		B368
369	O=C(O)COC1=C(F)C=C(CO)C=N1		B369
370	O=C(O)COC1=CC(F)=C(CO)C=N1		B370
371	O=C(O)COC1=CC=C(CO)C(F)=N1		B371
372	O=C(O)COC1=C(F)C=CC(CO)=N1		B372
373	O=C(O)COC1=CC(F)=CC(CO)=N1		B373
374	O=C(O)COC1=CC=C(F)C(CO)=N1		B374
375	O=C(O)COC1=C(CO)C(O)=CC=N1		B375
376	O=C(O)COC1=C(CO)C=C(O)C=N1		B376
377	O=C(O)COC1=C(CO)C=CC(O)=N1		B377
378	O=C(O)COC1=C(O)C(CO)=CC=N1		B378
379	O=C(O)COC1=CC(CO)=C(O)C=N1		B379
380	O=C(O)COC1=CC(CO)=CC(O)=N1		B380
381	O=C(O)COC1=C(O)C=C(CO)C=N1		B381
382	O=C(O)COC1=CC(O)=C(CO)C=N1		B382
383	O=C(O)COC1=CC=C(CO)C(O)=N1		B383
384	O=C(O)COC1=C(O)C=CC(CO)=N1		B384
385	O=C(O)COC1=CC(O)=CC(CO)=N1		B385
386	O=C(O)COC1=CC=C(O)C(CO)=N1		B386
387	O=C(O)CCN1C(CO)=C(CO)N=C1		B387
388	O=C(O)CCN1C(CO)=CN=C1(CO)		B388
389	O=C(O)CCN1C=C(CO)N=C1(CO)		B389
390	O=C(O)CCN1C(CO)=C(C)N=C1	1b14	B390
391	O=C(O)CCN1C(CO)=CN=C1(C)		B391
392	O=C(O)CCN1C(C)=C(CO)N=C1	1b13	B392
393	O=C(O)CCN1C=C(CO)N=C1(C)		B393
394	O=C(O)CCN1C(C)=CN=C1(CO)		B394
395	O=C(O)CCN1C=C(C)N=C1(CO)		B395
396	O=C(O)CCN1C(CO)=C(OC)N=C1		B396
397	O=C(O)CCN1C(CO)=CN=C1(OC)		B397
398	O=C(O)CCN1C(OC)=C(CO)N=C1		B398
399	O=C(O)CCN1C=C(CO)N=C1(OC)		B399
400	O=C(O)CCN1C(OC)=CN=C1(CO)		B400
401	O=C(O)CCN1C=C(OC)N=C1(CO)		B401
402	O=C(O)CCN1C(CO)=C(F)N=C1		B402
403	O=C(O)CCN1C(CO)=CN=C1(F)		B403
404	O=C(O)CCN1C(F)=C(CO)N=C1		B404
405	O=C(O)CCN1C=C(CO)N=C1(F)		B405
406	O=C(O)CCN1C(F)=CN=C1(CO)		B406
407	O=C(O)CCN1C=C(F)N=C1(CO)		B407
408	O=C(O)CCN1C(CO)=C(O)N=C1		B408
409	O=C(O)CCN1C(CO)=CN=C1(O)		B409
410	O=C(O)CCN1C(O)=C(CO)N=C1		B410
411	O=C(O)CCN1C=C(CO)N=C1(O)		B411
412	O=C(O)CCN1C(O)=CN=C1(CO)		B412
413	O=C(O)CCN1C=C(O)N=C1(CO)		B413
